graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n40_tol0.05,19,20,0.475,0.5,0.025000000000000022,0.05
uniform_n40_tol0.05,20,21,0.5,0.525,0.025000000000000022,0.05
uniform_n40_tol0.05,21,22,0.525,0.55,0.025000000000000022,0.05
uniform_n40_tol0.05,21,23,0.525,0.575,0.04999999999999993,0.05
uniform_n40_tol0.05,22,23,0.55,0.575,0.02499999999999991,0.05
uniform_n40_tol0.05,22,24,0.55,0.6,0.04999999999999993,0.05
uniform_n40_tol0.05,23,24,0.575,0.6,0.025000000000000022,0.05
uniform_n40_tol0.05,24,25,0.6,0.625,0.025000000000000022,0.05
uniform_n40_tol0.05,25,26,0.625,0.65,0.025000000000000022,0.05
uniform_n40_tol0.05,26,27,0.65,0.675,0.025000000000000022,0.05
uniform_n40_tol0.05,26,28,0.65,0.7,0.04999999999999993,0.05
uniform_n40_tol0.05,27,28,0.675,0.7,0.02499999999999991,0.05
uniform_n40_tol0.05,27,29,0.675,0.725,0.04999999999999993,0.05
uniform_n40_tol0.05,28,29,0.7,0.725,0.025000000000000022,0.05
uniform_n40_tol0.05,29,30,0.725,0.75,0.025000000000000022,0.05
uniform_n40_tol0.05,30,31,0.75,0.775,0.025000000000000022,0.05
uniform_n40_tol0.05,31,32,0.775,0.8,0.025000000000000022,0.05
uniform_n40_tol0.05,31,33,0.775,0.825,0.04999999999999993,0.05
uniform_n40_tol0.05,32,33,0.8,0.825,0.02499999999999991,0.05
uniform_n40_tol0.05,32,34,0.8,0.85,0.04999999999999993,0.05
uniform_n40_tol0.05,33,34,0.825,0.85,0.025000000000000022,0.05
uniform_n40_tol0.05,34,35,0.85,0.875,0.025000000000000022,0.05
uniform_n40_tol0.05,35,36,0.875,0.9,0.025000000000000022,0.05
uniform_n40_tol0.05,36,37,0.9,0.925,0.025000000000000022,0.05
uniform_n40_tol0.05,36,38,0.9,0.95,0.04999999999999993,0.05
uniform_n40_tol0.05,37,38,0.925,0.95,0.02499999999999991,0.05
uniform_n40_tol0.05,37,39,0.925,0.975,0.04999999999999993,0.05
uniform_n40_tol0.05,38,39,0.95,0.975,0.025000000000000022,0.05
uniform_n40_tol0.05,39,40,0.975,1.0,0.025000000000000022,0.05
uniform_n40_tol0.051,0,1,0.0,0.025,0.025,0.051
uniform_n40_tol0.051,0,2,0.0,0.05,0.05,0.051
uniform_n40_tol0.051,1,2,0.025,0.05,0.025,0.051
uniform_n40_tol0.051,1,3,0.025,0.075,0.049999999999999996,0.051
uniform_n40_tol0.051,2,3,0.05,0.075,0.024999999999999994,0.051
uniform_n40_tol0.051,2,4,0.05,0.1,0.05,0.051
uniform_n40_tol0.051,3,4,0.075,0.1,0.02500000000000001,0.051
uniform_n40_tol0.051,3,5,0.075,0.125,0.05,0.051
uniform_n40_tol0.051,4,5,0.1,0.125,0.024999999999999994,0.051
uniform_n40_tol0.051,4,6,0.1,0.15,0.04999999999999999,0.051
uniform_n40_tol0.051,5,6,0.125,0.15,0.024999999999999994,0.051
uniform_n40_tol0.051,5,7,0.125,0.175,0.04999999999999999,0.051
uniform_n40_tol0.051,6,7,0.15,0.175,0.024999999999999994,0.051
uniform_n40_tol0.051,6,8,0.15,0.2,0.05000000000000002,0.051
uniform_n40_tol0.051,7,8,0.175,0.2,0.025000000000000022,0.051
uniform_n40_tol0.051,7,9,0.175,0.225,0.05000000000000002,0.051
uniform_n40_tol0.051,8,9,0.2,0.225,0.024999999999999994,0.051
uniform_n40_tol0.051,8,10,0.2,0.25,0.04999999999999999,0.051
uniform_n40_tol0.051,9,10,0.225,0.25,0.024999999999999994,0.051
uniform_n40_tol0.051,9,11,0.225,0.275,0.05000000000000002,0.051
uniform_n40_tol0.051,10,11,0.25,0.275,0.025000000000000022,0.051
uniform_n40_tol0.051,10,12,0.25,0.3,0.04999999999999999,0.051
uniform_n40_tol0.051,11,12,0.275,0.3,0.024999999999999967,0.051
uniform_n40_tol0.051,11,13,0.275,0.325,0.04999999999999999,0.051
uniform_n40_tol0.051,12,13,0.3,0.325,0.025000000000000022,0.051
uniform_n40_tol0.051,12,14,0.3,0.35,0.04999999999999999,0.051
uniform_n40_tol0.051,13,14,0.325,0.35,0.024999999999999967,0.051
uniform_n40_tol0.051,13,15,0.325,0.375,0.04999999999999999,0.051
uniform_n40_tol0.051,14,15,0.35,0.375,0.025000000000000022,0.051
uniform_n40_tol0.051,14,16,0.35,0.4,0.050000000000000044,0.051
