seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,26,0.32499999999999996,27,94,0.35,1.0,True,False,0.025000000000000022,0.675
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,27,0.29999999999999993,28,93,0.32499999999999996,1.0,True,False,0.025000000000000022,0.7000000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,28,0.2749999999999999,29,92,0.29999999999999993,1.0,True,False,0.025000000000000022,0.7250000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,29,0.25,30,91,0.2749999999999999,1.0,True,False,0.02499999999999991,0.75
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,30,0.22499999999999998,31,90,0.25,1.0,True,False,0.025000000000000022,0.775
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,31,0.19999999999999996,32,89,0.22499999999999998,1.0,True,False,0.025000000000000022,0.8
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,32,0.17499999999999993,33,88,0.19999999999999996,1.0,True,False,0.025000000000000022,0.8250000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,33,0.1499999999999999,34,87,0.17499999999999993,1.0,True,False,0.025000000000000022,0.8500000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,34,0.125,35,86,0.1499999999999999,1.0,True,False,0.02499999999999991,0.875
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,35,0.09999999999999998,36,85,0.125,1.0,True,False,0.025000000000000022,0.9
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,36,0.07499999999999996,37,84,0.09999999999999998,1.0,True,False,0.025000000000000022,0.925
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,37,0.04999999999999993,38,83,0.07499999999999996,1.0,True,False,0.025000000000000022,0.9500000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,38,0.02499999999999991,39,82,0.04999999999999993,1.0,True,False,0.025000000000000022,0.9750000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,39,0.0,40,1,0.02499999999999991,1.0,True,False,0.02499999999999991,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,40,0.0,41,2,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,41,0.0,42,3,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,42,0.0,43,4,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,43,0.0,44,5,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,44,0.0,45,6,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,45,0.0,46,7,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,46,0.0,47,8,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,47,0.0,48,9,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,48,0.0,49,10,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,49,0.0,50,11,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,50,0.0,51,12,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,51,0.0,52,13,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,52,0.0,53,14,0.0,1.0,True,False,0.0,1.0
